cn,en,count
1个女孩,1girl,3663973
单人,solo,3053641
高分辨率,highres,2665721
长发,long hair,2578970
评论请求,commentary request,2346332
胸部,breasts,2001847
看着镜头,looking at viewer,1789449
脸红,blush,1770482
微笑,smile,1642260
短发,short hair,1364561
张开嘴,open mouth,1353940
刘海,bangs,1278666
蓝色眼睛,blue eyes,1062389
多个女孩,multiple girls,979395
短裙,skirt,956212
金色头发,blonde hair,955290
大的胸部,large breasts,934549
棕色头发,brown hair,933123
简单的背景,simple background,916212
衬衫,shirt,846430
黑色头发,black hair,845850
发饰,hair ornament,809111
荒谬的,absurdres,783860
红色眼睛,red eyes,779475
高抬腿,thighhighs,777397
帽子,hat,767749
手套,gloves,764559
1个男孩,1boy,757275
不好的ID,bad id,755740
长袖,long sleeves,751770
白色背景,white background,747657
连衣裙,dress,723544
原始的,original,713533
丝带,ribbon,692784
东方Project,touhou,689133
蝴蝶结,bow,689044
肚脐,navel,677066
不好的的 pixiv id,bad pixiv id,636694
2个女孩,2girls,636597
Photoshop（一般）,photoshop (medium),632519
拿着,holding,616193
动物耳朵,animal ears,615717
乳沟,cleavage,598105
眼睛之间的头发,hair between eyes,585904
裸露肩膀,bare shoulders,566928
棕色眼睛,brown eyes,564947
双马尾,twintails,564006
普通大小的胸部,medium breasts,556362
评论,commentary,554808
饰品,jewelry,552567
坐着,sitting,544503
很长的头发,very long hair,533988
内衣,underwear,531948
闭着嘴巴,closed mouth,520560
乳头,nipples,512054
校服,school uniform,508447
绿色眼睛,green eyes,506172
蓝色头发,blue hair,487376
站着,standing,473056
紫色眼睛,purple eyes,463120
锁骨,collarbone,448824
内裤,panties,442366
单色,monochrome,421271
尾巴,tail,416809
夹克,jacket,414708
翻译的,translated,410792
泳装,swimsuit,408060
全身,full body,396148
闭上眼睛,closed eyes,394458
发带,hair ribbon,393021
舰队收藏,kantai collection,390570
黄色眼睛,yellow eyes,385114
武器,weapon,374638
马尾辫,ponytail,373553
上半身,upper body,370538
紫色头发,purple hair,369812
屁股,ass,366636
粉色头发,pink hair,366148
白色衬衫,white shirt,364421
漫画,comic,362267
编织辫,braid,359094
花,flower,356472
呆毛,ahoge,351749
:d,:d,334875
短袖,short sleeves,333964
头发上的蝴蝶结,hair bow,332667
灰度,greyscale,332310
有异性,hetero,327824
白色头发,white hair,320446
聚焦男性,male focus,319559
心,heart,311429
连裤袜,pantyhose,306703
比基尼,bikini,304061
侧锁,sidelocks,295954
全裸,nude,293758
大腿,thighs,293653
红色头发,red hair,290725
七分身镜头,cowboy shot,288183
百褶裙,pleated skirt,287179
流汗,sweat,286164
发带,hairband,284995
翻译请求,translation request,283752
小的胸部,small breasts,280946
耳环,earrings,280421
多彩的头发,multicolored hair,279707
靴子,boots,278884
侧躺,lying,269737
