cn	en	nums
单人	solo	590824
1个女孩	1girl	549935
看向镜头	looking_at_viewer	373423
长发	long_hair	364954
刘海	bangs	312245
乳房	breasts	297548
微笑	smile	268375
脸红	blush	246375
短发	short_hair	208589
衬衫	shirt	207772
张开嘴	open_mouth	186545
简单背景	simple_background	185205
长袖	long_sleeves	176705
东方Project	touhou	175510
短裙	skirt	160012
白色背景	white_background	155394
蓝眼睛	blue_eyes	152098
保持	holding	146822
眼睛之间的头发	hair_between_eyes	140527
裙子	dress	140294
闭着嘴	closed_mouth	138765
红眼睛	red_eyes	137725
动物耳朵	animal_ears	133604
发饰	hair_ornament	131117
金头发	blonde_hair	130588
大乳房	large_breasts	130325
蝴蝶结	bow	125522
黑发	black_hair	124253
多个女孩	multiple_girls	120664
帽子	hat	118916
原创作品	original	115576
棕色的头发	brown_hair	114999
手套	gloves	110326
丝带	ribbon	109238
白衬衫	white_shirt	108126
珠宝	jewelry	100888
站立	standing	98992
上半身	upper_body	95282
肚脐	navel	92513
裸露的肩膀	bare_shoulders	91991
很长的长发	very_long_hair	91819
乳沟	cleavage	88953
坐着	sitting	87636
高抬腿	thighhighs	87633
尾巴	tail	87201
夹克	jacket	86998
中等乳房	medium_breasts	85665
全身	full_body	85536
蓝头发	blue_hair	83995
2个女孩	2girls	82731
短袖	short_sleeves	80722
紫色的眼睛	purple_eyes	78642
锁骨	collarbone	76003
彩色头发	multicolored_hair	75209
绿眼睛	green_eyes	74990
户外	outdoors	72587
花	flower	69680
装饰	frills	69421
双马尾	twintails	67019
七分身镜头 cowboy_shot	66730
黄眼睛	yellow_eyes	66083
白头发	white_hair	63901
1个男孩	1boy	63227
天空	sky	62397
大腿	thighs	61961
侧球	sidelocks	61960
头发花白	grey_hair	61681
棕色的眼睛	brown_eyes	61437
粉红色的头发	pink_hair	59027
马尾辫	braid	58720
分开的嘴唇	parted_lips	58714
呆毛	ahoge	58392
泳装	swimsuit	58259
虚拟Youtuber	virtual_youtuber	58097
领衬衫	collared_shirt	56385
紫色的头发	purple_hair	55752
耳环	earrings	55600
校服	school_uniform	54527
武器	weapon	54259
发夹	hair_bow	54014
发色带	hair_ribbon	53013
内衣	underwear	52936
蓬松的袖子	puffy_sleeves	52637
马尾辫	ponytail	50380
中型头发	medium_hair	47899
男性重点	male_focus	47637
发带	hairband	47111
举起手	hand_up	46704
闭着眼睛	closed_eyes	46672
连裤袜	pantyhose	45041
黑手套	black_gloves	45008
百褶裙	pleated_skirt	44774
牙齿	teeth	44565
比基尼	bikini	44557
角	horns	44540
绿头发	green_hair	44071
衣服半开	open_clothes	43964
云	cloud	43911
变装	alternate_costume	43793
翅膀	wings	43535
宽袖	wide_sleeves	43143
白天	day	43141
无袖的	sleeveless	43134
鞋	shoes	42940
平胸	small_breasts	42323
红发	red_hair	41556
乳头	nipples	41337
内裤	panties	40936
分离的袖子	detached_sleeves	40674
食物	food	40066
领带	necktie	39314
风景	scenery	39257
尖头的耳朵	pointy_ears	38664
黑色裙子	black_skirt	38505
屁股	ass	38497
日本衣服	japanese_clothes	38485
短裤	shorts	37522
颈圈	choker	37459
靴子	boots	37448
原神	genshin_impact	37240
领结	bowtie	36339
裤子	pants	35379
Hololive	hololive	35098
袜子	socks	35066
黑色鞋类	black_footwear	34982
灰色背景	grey_background	34114
一只眼睛闭着	one_eye_closed	33866
艺术家名称	artist_name	33827
在室内	indoors	33340
签名	signature	32800
模糊	blurry	32292
流汗	sweat	32168
单色	monochrome	31849
腰带	belt	31413
躺卧	lying	30941
白色礼服	white_dress	30843
背心	vest	30767
黑裙子	black_dress	30335
黑色大腿	black_thighhighs	30242
蓬松的短袖	puffy_short_sleeves	30220
持有武器	holding_weapon	30012
虎牙	fang	29947
舌头	tongue	29861
闪亮的	shiny	28970
条纹的头发	streaked_hair	28939
水	water	28883
钝刘海	blunt_bangs	28836
舰队Collection kantai_collection	28713
水手领	sailor_collar	28560
发夹	hairclip	28543
明日方舟	arknights	28456
赤脚	barefoot	28411
肩膀	off_shoulder	28264
兜帽	hood	28203
指甲油	nail_polish	28198
头发花	hair_flower	27991
蓝天	blue_sky	27770
树	tree	27621
猫耳	cat_ears	27545
星星	star	27523
红色领结	red_bow	27130
腹部	stomach	26565
口袋妖怪	pokemon	26530
白手套	white_gloves	26049
粉红色的眼睛	pink_eyes	25935
动物耳朵绒毛	animal_ear_fluff	25528
黑色头饰	black_headwear	25340
灰度	greyscale	24918
肚脐	midriff	24912
红带	red_ribbon	24883
迷你裙	miniskirt	24732
官方替代服装	official_alternate_costume	24592
黑色的夹克	black_jacket	24565
Twitter用户名	twitter_username	24250
举手	hands_up	24131
漫画	comic	24120
开夹克	open_jacket	24084
看着一边	looking_to_the_side	23931
剑	sword	23930
从后面	from_behind	23795
武装	arm_up	23750
包	bag	23690
和服	kimono	23432
两色头发	two-tone_hair	23232
从侧面	from_side	23210
兔子耳朵	rabbit_ears	23078
回头看	looking_back	23005
裸体	nude	22977
蓝色裙子	blue_skirt	22758
水手服	serafuku	22659
闪亮的头发	shiny_hair	22340
围裙	apron	22116
眼镜	glasses	22103
肘部手套	elbow_gloves	21903
痣	mole	21831
腋窝	armpits	21681
发髻	hair_bun	21640
远离框架	feet_out_of_frame	21628
无指手套	fingerless_gloves	21517
一只眼睛的头发	hair_over_one_eye	21305
赛马娘	umamusume	21133
黑色衬衫	black_shirt	21045
项链	necklace	21028
伸出舌头	tongue_out	20977
马耳	horse_ears	20975
没有人	no_humans	20920
笑	grin	20823
蓝色连衣裙	blue_dress	20226
外套	coat	19985
狐狸耳	fox_ears	19634
纽扣	buttons	19390
脖子丝带	neck_ribbon	19277
围巾	scarf	19225
有条纹的	striped	19067
色彩渐变的	gradient	19027
模糊背景	blurry_background	18892
高跟鞋	high_heels	18606
光环	halo	18501
批 pussy	18452
看另一个	looking_at_another	18258
V形眉毛	v-shaped_eyebrows	18223
双辫子	twin_braids	18215
黑丝带	black_ribbon	18154
3个女孩	3girls	18108
杯子	cup	18101
武装	arms_up	18006
指甲	fingernails	17983
橙色的头发	orange_hair	17938
Q版小人	chibi	17790
会话框	speech_bubble	17768
袖子过去的手腕	sleeves_past_wrists	17738
橙色的眼睛	orange_eyes	17711
灰色的眼睛	grey_eyes	17556
无袖上衣	sleeveless_shirt	17514
阿斯科特领结	ascot	17408
马娘	horse_girl	17396
衣领	collar	17393
紧身连衣裤	leotard	17355
颜色渐变的头发	gradient_hair	17348
手镯	bracelet	17316
裸露的手臂	bare_arms	17276
黑皮	dark_skin	17231
白色大腿	white_thighhighs	17183
英文文字	english_text	17179
毛衣	sweater	17179
睫毛	eyelashes	17115
背面	on_back	17074
披肩	cape	17022
渐变背景	gradient_background	16858
蓝色蝴蝶结	blue_bow	16812
黑色连裤袜	black_pantyhose	16754
黑色蝴蝶结	black_bow	16754
围腰	sash	16732
猫尾	cat_tail	16705
分开的刘海	parted_bangs	16667
露腹短上衣	crop_top	16633
碧蓝档案	blue_archive	16503
付有日期的	dated	16470
Fate	fate	16436
围巾	neckerchief	16264
花瓣	petals	16072
窗户	window	15970
女仆头饰	maid_headdress	15924
夜晚	night	15788
狐狸尾巴	fox_tail	15755
黑眼睛	black_eyes	15636
百合	yuri	15585
黑色项链	black_choker	15557
帽子	capelet	15541
汗水	sweatdrop	15463
经过审查的	censored	15425
角色名字	character_name	15400
